Events,results,white_elo,black_elo,white_rating_diff,black_rating_diff,ecos,openings,time_control,termination,game_id
Rated Blitz game,0-1,1414,1439,-10,10,C40,King's Pawn Game: Damiano Defense,240+0,Normal,1348
Rated Classical game,1-0,1397,1345,9,-9,D35,Queen's Gambit Declined: Normal Defense,1740+30,Normal,1349
Rated Bullet game,1-0,1565,1763,17,-54,C50,Italian Game: Giuoco Pianissimo,60+2,Normal,1350
Rated Blitz game,0-1,1393,1425,-10,10,C20,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit",180+0,Normal,1351
Rated Classical game,1-0,1670,1769,12,-119,B40,Sicilian Defense: French Variation,420+17,Normal,1352
Rated Blitz game,0-1,1499,1718,-5,5,C23,Bishop's Opening,300+0,Normal,1353
Rated Bullet game,1-0,1440,1510,14,-15,B02,Alekhine Defense: John Tracy Gambit,120+0,Time forfeit,1354
Rated Blitz game,1-0,1791,1714,9,-8,A00,Hungarian Opening: Catalan Formation,180+0,Normal,1355
Rated Blitz game,0-1,1449,1404,-12,12,D02,Queen's Pawn Game: Zukertort Variation,240+0,Normal,1356
Rated Blitz game,0-1,1746,1775,-11,10,A65,Benoni Defense: King's Pawn Line,240+0,Normal,1357
Rated Classical game,1-0,1754,1434,3,-4,B20,Sicilian Defense: Staunton-Cochrane Variation,720+0,Normal,1362
Rated Classical game,0-1,1403,1706,-3,4,B23,Sicilian Defense: Closed Variation,300+10,Time forfeit,1364
Rated Blitz game,1-0,1785,1735,9,-9,C44,King's Pawn Game: Tayler Opening,240+0,Time forfeit,1365
Rated Blitz game,1-0,1714,1374,3,-9,C21,"Danish Gambit Accepted, Classical Defense",300+0,Normal,1368
Rated Blitz game,0-1,1841,1800,-12,12,A40,Modern Defense,180+0,Time forfeit,1370
Rated Classical game,1-0,1575,1418,7,-15,C42,Russian Game: Urusov Gambit,420+7,Normal,1373
Rated Classical game,1-0,1797,1681,8,-47,C21,Danish Gambit,540+7,Normal,1375
Rated Blitz game,0-1,1437,1630,-6,6,A00,Van't Kruijs Opening,300+0,Normal,1378
Rated Bullet game,1-0,1757,1901,15,-17,D35,Queen's Gambit Declined: Normal Defense,60+0,Normal,1379
Rated Bullet game,1-0,1884,1772,9,-7,D10,Slav Defense #2,60+0,Time forfeit,1380
Rated Classical game,1-0,1798,1909,14,-15,D00,Queen's Pawn Game: Chigorin Variation,540+5,Normal,1382
Rated Classical game,0-1,1906,1752,-18,54,C41,Philidor Defense: Exchange Variation,480+2,Normal,1383
Rated Blitz game,1-0,1717,1568,8,-7,C00,French Defense: Normal Variation,300+0,Normal,1385
Rated Blitz game,1-0,1486,1339,6,-75,B20,Sicilian Defense: Bowdler Attack,300+3,Normal,1387
Rated Bullet game,0-1,1900,1757,-16,16,A35,"English Opening: Symmetrical Variation, Two Knights Variation",60+0,Normal,1388
Rated Classical game,1-0,1684,1652,8,-98,A40,Horwitz Defense,480+5,Normal,1389
Rated Bullet game,1-0,1773,1884,14,-15,C50,Italian Game: Hungarian Defense,60+0,Time forfeit,1390
Rated Blitz game,1-0,1435,1517,14,-18,C02,French Defense: Advance Variation #2,180+0,Time forfeit,1391
Rated Bullet game,0-1,1765,1893,-8,7,B01,Scandinavian Defense: Mieses-Kotroc Variation,60+0,Time forfeit,1394
Rated Bullet game,1-0,1869,1787,9,-8,A02,Bird Opening,60+0,Time forfeit,1398
Rated Classical game,1-0,1757,1628,7,-8,B20,Sicilian Defense: Staunton-Cochrane Variation,720+0,Normal,1399
Rated Blitz game,0-1,1264,1492,-44,5,D25,Queen's Gambit Accepted: Deferred Variation,300+3,Time forfeit,1402
Rated Classical game,1-0,1811,1703,9,-8,B06,Modern Defense,300+8,Normal,1403
Rated Classical game,0-1,1895,1888,-28,13,D30,Queen's Gambit Declined,300+8,Normal,1404
Rated Blitz game,1-0,1435,1590,16,-25,C34,"King's Gambit Accepted, MacLeod Defense",180+0,Normal,1405
Rated Classical game,0-1,1308,1336,-10,10,A40,"Englund Gambit Declined, Reversed French",600+10,Normal,1406
Rated Classical game,0-1,1401,1515,-8,7,A43,Franco-Benoni Defense,600+10,Normal,1407
Rated Classical game,0-1,1663,1540,-16,14,C30,King's Gambit,900+10,Normal,1408
Rated Classical game,1-0,1692,1819,15,-15,A45,Indian Game,480+5,Normal,1409
Rated Blitz game,1-0,1412,1370,10,-13,C34,"King's Gambit Accepted, MacLeod Defense",120+3,Time forfeit,1410
Rated Classical game,1-0,1661,1762,37,-14,A21,"English Opening: King's English Variation, Reversed Sicilian",420+7,Normal,1411
Rated Bullet game,0-1,1779,1878,-8,8,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,60+0,Time forfeit,1412
Rated Classical game,1-0,1519,1751,19,-18,C22,Center Game: Berger Variation,480+8,Normal,1414
Rated Classical game,0-1,1674,1586,-15,13,C20,King's Pawn Game,480+5,Normal,1415
Rated Classical game,1-0,1906,1675,5,-9,B52,"Sicilian Defense: Canal Attack, Main Line",600+10,Normal,1416
Rated Blitz game,1-0,1797,1485,3,-3,A10,English Opening: Anglo-Scandinavian Defense,180+1,Normal,1417
Rated Blitz game,0-1,1826,1794,-18,12,B20,Sicilian Defense: Lasker-Dunne Attack,420+0,Normal,1418
Rated Classical game,0-1,1501,1678,-6,5,C00,French Defense: La Bourdonnais Variation,1200+0,Normal,1420
Rated Classical game,0-1,1894,1844,-14,13,B01,Scandinavian Defense: Mieses-Kotroc Variation,540+5,Normal,1421
Rated Classical game,0-1,1400,1494,-9,9,D02,Queen's Pawn Game: Chigorin Variation,600+8,Time forfeit,1422
Rated Classical game,1-0,1901,1867,11,-23,C02,"French Defense: Advance Variation, Paulsen Attack",300+8,Normal,1423
Rated Blitz game,0-1,1390,1422,-11,10,C62,Ruy Lopez: Steinitz Defense,180+0,Time forfeit,1426
Rated Blitz game,1-0,1397,1357,28,-12,C44,King's Knight Opening: Normal Variation,300+0,Time forfeit,1427
Rated Blitz game,0-1,1482,1800,-4,3,B20,Sicilian Defense,180+1,Normal,1428
Rated Classical game,0-1,1844,1912,-19,10,D30,Queen's Gambit Declined,300+8,Normal,1430
Rated Classical game,1-0,1346,1298,9,-10,C41,Philidor Defense #3,600+10,Normal,1432
Rated Classical game,0-1,1707,1804,-8,8,A45,Indian Game,480+5,Normal,1433
Rated Blitz game,1-0,1884,1812,12,-8,B06,Robatsch (Modern) Defense,180+0,Normal,1434
Rated Blitz game,1-0,1432,1392,10,-11,C30,King's Gambit,120+3,Time forfeit,1435
Rated Classical game,1-0,1521,1669,16,-16,C41,Philidor Defense #2,360+8,Normal,1436
Rated Blitz game,1-0,1607,1793,15,-65,B20,Sicilian Defense: Bowdler Attack,300+0,Time forfeit,1437
Rated Classical game,1/2-1/2,1682,1748,2,-2,D06,Queen's Gambit Refused: Marshall Defense,420+17,Normal,1440
Rated Classical game,1-0,1577,1403,7,-14,C20,King's Pawn Game: Napoleon Attack,1800+0,Normal,1442
Rated Classical game,1-0,1599,1659,13,-15,B50,Sicilian Defense: Delayed Alapin,480+5,Normal,1444
Rated Blitz game,1-0,1483,1425,9,-25,B20,Sicilian Defense,180+0,Normal,1445
Rated Blitz game,0-1,1770,1708,-13,14,C34,"King's Gambit Accepted, King's Knight Gambit",240+1,Normal,1446
Rated Classical game,1-0,1666,1911,32,-19,E90,"King's Indian Defense: Normal Variation, Rare Defenses",600+10,Normal,1447
Rated Classical game,0-1,1538,1820,-4,4,C64,Ruy Lopez: Classical Variation,840+5,Normal,1448
Rated Bullet game,0-1,1710,1938,-4,5,C20,King's Pawn Game,120+0,Time forfeit,1449
Rated Classical game,1-0,1495,1222,4,-12,A84,Dutch Defense: Classical Variation,480+0,Normal,1451
Rated Bullet game,0-1,1673,1479,-37,23,A00,Grob Opening,0+1,Time forfeit,1452
Rated Blitz game,1-0,1591,1658,13,-13,C41,Philidor Defense: Hanham Variation,300+3,Normal,1453
Rated Bullet game,1-0,1727,1502,5,-7,B10,Caro-Kann Defense: Breyer Variation,0+1,Normal,1454
Rated Blitz game,0-1,1487,1774,-4,4,C20,King's Pawn Game: Leonardis Variation,300+0,Normal,1456
Rated Classical game,1-0,1500,1687,293,-13,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",300+8,Normal,1457
Rated Bullet game,1-0,1717,1566,75,-7,B00,Owen Defense,60+0,Time forfeit,1458
Rated Blitz game,0-1,1794,1806,-10,10,B21,Sicilian Defense: McDonnell Attack,420+0,Normal,1460
Rated Classical game,1-0,1495,1245,4,-5,C40,King's Pawn Game: Busch-Gass Gambit,1200+0,Normal,1461
Rated Blitz game,0-1,1497,1665,-6,31,A00,Ware Opening,300+3,Normal,1462
Rated Bullet game,1-0,1651,1446,11,-6,A00,Hungarian Opening,0+1,Time forfeit,1464
Rated Blitz game,0-1,1816,1784,-12,12,B02,Alekhine Defense: Two Pawn Attack,420+0,Normal,1465
Rated Bullet game,0-1,1559,1792,-5,44,C00,French Defense #2,60+0,Time forfeit,1466
Rated Bullet game,0-1,1662,1440,-35,18,A00,Saragossa Opening,0+1,Time forfeit,1467
Rated Classical game,1-0,1653,1537,8,-8,A02,Bird Opening,360+8,Normal,1469
Rated Blitz game,0-1,1571,1345,-44,49,A40,Horwitz Defense,180+0,Time forfeit,1470
Rated Blitz game,0-1,1602,1896,-4,5,C11,French Defense: Burn Variation,180+0,Time forfeit,1472
Rated Classical game,1-0,1720,1388,4,-3,C41,Philidor Defense #3,900+8,Normal,1473
Rated Classical game,1/2-1/2,1356,1364,0,0,B22,Sicilian Defense: Alapin Variation,1800+8,Normal,1475
Rated Blitz game,1-0,1722,1604,7,-8,B01,Scandinavian Defense: Mieses-Kotroc Variation,300+3,Normal,1476
Rated Bullet game,1/2-1/2,1486,1836,9,-69,A03,Bird Opening: Dutch Variation,60+0,Normal,1477
Rated Classical game,0-1,1385,1724,-4,3,C62,Ruy Lopez: Steinitz Defense,900+8,Time forfeit,1479
Rated Bullet game,1-0,1767,1495,29,-5,A44,Semi-Bononi,60+0,Time forfeit,1481
Rated Bullet game,1-0,1650,1445,9,-5,A40,"Englund Gambit Declined, Reversed French",0+1,Time forfeit,1482
Rated Blitz game,1-0,2068,1483,1,-1,A40,Englund Gambit Complex: Hartlaub-Charlick Gambit,240+0,Normal,1483
Rated Blitz game,1/2-1/2,1726,1860,4,-5,D55,"Queen's Gambit Declined: Modern Variation, Normal Line",240+0,Time forfeit,1484
Rated Classical game,0-1,1389,1391,-24,12,B20,Sicilian Defense: Bowdler Attack,180+30,Normal,1486
Rated Classical game,1-0,1584,1066,1,-2,B01,Scandinavian Defense,1800+0,Normal,1487
Rated Blitz game,1-0,1527,1772,46,-17,D01,Queen's Pawn Game: Chigorin Variation,180+0,Time forfeit,1488
Rated Blitz game,1-0,1345,1400,16,-31,D07,"Queen's Gambit Refused: Chigorin Defense, Janowski Variation",300+0,Normal,1489
Rated Blitz game,1/2-1/2,1696,1491,-26,5,D20,Queen's Gambit Accepted,300+3,Normal,1490
Rated Bullet game,0-1,1266,1428,-9,8,B20,Sicilian Defense,60+0,Normal,1492
Rated Classical game,1-0,1824,1644,6,-6,C50,Italian Game,300+11,Normal,1493
Rated Blitz game,0-1,1556,1664,-78,8,B20,Sicilian Defense: Bowdler Attack,120+2,Normal,1494
Rated Blitz game,1/2-1/2,1719,1630,-2,3,A40,Modern Defense,120+3,Normal,1495
Rated Bullet game,0-1,1659,1796,-11,42,A00,Mieses Opening,0+1,Time forfeit,1496
Rated Blitz game,1-0,1796,1804,11,-11,B21,Sicilian Defense: McDonnell Attack,420+0,Normal,1497
Rated Blitz game,1-0,2069,1482,1,-1,D00,Queen's Pawn Game #2,240+0,Time forfeit,1499
Rated Bullet game,0-1,1732,1796,-8,54,A00,Mieses Opening,0+1,Normal,1500
Rated Classical game,1-0,1355,1317,10,-12,B00,Owen Defense,540+30,Normal,1501
Rated Blitz game,0-1,1201,1476,-22,4,C48,Four Knights Game: Spanish Variation,180+5,Normal,1502
Rated Bullet game,0-1,1500,1850,-64,17,D10,Slav Defense #2,60+0,Time forfeit,1504
Rated Classical game,0-1,1571,1768,-5,50,C41,Philidor Defense: Exchange Variation #2,420+5,Normal,1505
Rated Bullet game,1-0,1724,1500,4,-92,A00,Gedult's Opening,0+1,Time forfeit,1506
Rated Classical game,1-0,1628,1344,5,-17,B07,Pirc Defense #2,600+8,Time forfeit,1507
Rated Blitz game,0-1,1369,1544,-14,6,C20,King's Pawn Game: King's Head Opening #2,240+0,Normal,1508
Rated Classical game,0-1,1406,1403,-11,11,A40,Englund Gambit Complex Declined,1740+30,Normal,1509
Rated Blitz game,1-0,1500,1355,116,-12,A45,Indian Game,300+3,Normal,1510
Rated Blitz game,1-0,1807,1642,7,-15,D00,Queen's Pawn Game: Stonewall Attack,300+0,Normal,1511
Rated Blitz game,1-0,1755,1550,5,-5,C41,Philidor Defense #3,240+0,Normal,1512
Rated Blitz game,1-0,1855,1730,8,-7,A00,Van Geet Opening,240+0,Time forfeit,1513
Rated Bullet game,0-1,1436,1867,-37,13,D06,Queen's Gambit Refused: Marshall Defense,60+0,Normal,1514
Rated Classical game,1-0,1500,1421,142,-50,C21,Center Game Accepted,480+8,Time forfeit,1515
Rated Bullet game,1-0,1880,1399,10,-25,A40,Horwitz Defense,60+0,Time forfeit,1516
Rated Classical game,0-1,1564,1766,-15,5,D00,Queen's Pawn Game #3,300+6,Normal,1517
Rated Blitz game,0-1,1802,1535,-18,20,A42,Modern Defense: Averbakh Variation,240+0,Normal,1520
Rated Classical game,1-0,1674,1619,12,-11,D02,Queen's Pawn Game: Krause Variation,1800+2,Normal,1521
Rated Classical game,0-1,1566,1922,-3,3,C68,Ruy Lopez: Exchange Variation,420+5,Normal,1522
Rated Bullet game,1-0,2141,1374,1,-4,A40,Horwitz Defense,120+0,Normal,1523
Rated Blitz game,0-1,1596,1729,-7,8,C40,King's Pawn Game: McConnell Defense,300+3,Normal,1524
Rated Blitz game,1-0,1793,1807,11,-11,B02,Alekhine Defense: Two Pawn Attack,420+0,Normal,1525
Rated Bullet game,0-1,1440,1943,-2,2,B10,Caro-Kann Defense,120+0,Normal,1526
Rated Classical game,0-1,1683,1544,-15,16,C20,King's Pawn Game: Macleod Attack,360+6,Normal,1527
Rated Bullet game,1-0,2142,1370,0,-5,D78,"Neo-Gruenfeld Defense: Classical Variation, Original Defense",120+0,Normal,1528
Rated Blitz game,1-0,1717,1633,8,-9,A43,Benoni Defense: Benoni Gambit Accepted,120+3,Normal,1529
Rated Blitz game,1-0,1814,1381,2,-2,D00,Queen's Pawn Game #2,300+0,Time forfeit,1531
Rated Blitz game,1-0,1364,1343,12,-23,B27,Sicilian Defense: Katalimov Variation,300+0,Normal,1532
Rated Blitz game,0-1,1784,1593,-17,17,A40,English Defense #2,240+0,Normal,1533
Rated Blitz game,0-1,1723,1863,-7,8,D53,Queen's Gambit Declined: 4.Bg5 Be7,240+0,Normal,1534
Rated Classical game,0-1,1240,1242,-11,12,C40,King's Knight Opening,900+0,Time forfeit,1535
Rated Bullet game,0-1,1528,1365,-12,177,C00,French Defense: Knight Variation,120+0,Time forfeit,1536
Rated Blitz game,0-1,1829,1747,-13,14,D02,Queen's Pawn Game: Chigorin Variation,300+0,Normal,1538
Rated Classical game,0-1,1288,1240,-12,14,A00,Van't Kruijs Opening,600+10,Normal,1539
Rated Classical game,1-0,1305,1365,16,-13,D01,Queen's Pawn Game: Chigorin Variation,540+30,Normal,1541
Rated Classical game,1-0,1731,1500,4,-90,D20,Queen's Gambit Accepted: Old Variation,600+5,Normal,1542
Rated Classical game,1-0,1601,1343,4,-5,B07,Pirc Defense #4,120+11,Time forfeit,1543
Rated Classical game,1/2-1/2,1395,1393,0,0,D07,Queen's Gambit Refused: Chigorin Defense #3,1740+30,Normal,1544
Rated Classical game,0-1,1642,1705,-107,7,E20,Nimzo-Indian Defense,480+8,Normal,1545
Rated Classical game,0-1,1684,1638,-12,14,A43,Franco-Benoni Defense,420+17,Time forfeit,1546
Rated Bullet game,0-1,1542,2142,-8,2,D10,Slav Defense: Exchange Variation,120+0,Normal,1547
Rated Blitz game,1-0,1851,1729,8,-7,B01,Scandinavian Defense: Boehnke Gambit,180+0,Time forfeit,1548
Rated Blitz game,0-1,1796,1804,-11,11,B21,Sicilian Defense: McDonnell Attack,420+0,Normal,1550
Rated Classical game,1-0,1830,1695,7,-7,B00,Owen Defense,300+11,Normal,1551
Rated Classical game,0-1,1608,1686,-10,10,A34,"English Opening: Symmetrical Variation, Normal Variation",1800+2,Time forfeit,1553
Rated Blitz game,1-0,1767,1816,13,-12,D06,Queen's Gambit Refused: Marshall Defense,240+0,Time forfeit,1555
Rated Blitz game,1-0,1815,1785,10,-10,B02,Alekhine Defense: Two Pawn Attack,420+0,Normal,1556
Rated Classical game,1-0,1837,1688,7,-7,C00,French Defense: Knight Variation,300+11,Normal,1557
Rated Classical game,0-1,1571,1417,-16,15,B02,Alekhine Defense: Mokele Mbembe,600+10,Normal,1558
Rated Blitz game,0-1,1320,1485,-13,6,B06,Modern Defense,300+0,Normal,1559
Rated Classical game,0-1,1519,1658,-7,7,B00,"Nimzowitsch Defense: Kennedy Variation, de Smet Gambit",480+8,Normal,1560
Rated Blitz game,0-1,1557,1338,-19,19,B07,Pirc Defense #4,300+2,Normal,1561
Rated Classical game,1-0,1229,1254,12,-13,C41,Philidor Defense #2,600+5,Normal,1562
Rated Classical game,1-0,1647,1358,4,-8,D20,Queen's Gambit Accepted: Old Variation,300+8,Normal,1563
Rated Classical game,0-1,1812,1925,-7,9,C97,"Ruy Lopez: Closed Variations, Chigorin Defense",480+2,Normal,1564
Rated Classical game,0-1,1633,1705,-10,9,B12,Caro-Kann Defense: Advance Variation,600+8,Normal,1565
Rated Blitz game,1-0,1544,1442,8,-8,C62,Ruy Lopez: Steinitz Defense,120+3,Normal,1566
Rated Blitz game,0-1,1780,1497,-19,19,A41,Old Indian Defense,240+0,Normal,1567
Rated Blitz game,0-1,1775,1825,-9,9,B20,Sicilian Defense: Lasker-Dunne Attack,420+0,Normal,1568
Rated Classical game,1-0,1669,1728,13,-45,A10,English Opening: Great Snake Variation,300+5,Time forfeit,1569
Rated Blitz game,0-1,1816,1652,-18,22,C01,French Defense: Exchange Variation,300+0,Normal,1570
Rated Blitz game,1/2-1/2,1545,1307,-7,13,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,300+0,Normal,1571
Rated Classical game,0-1,1432,1555,-7,8,D02,Queen's Pawn Game: Anti-Torre,600+10,Normal,1573
Rated Blitz game,0-1,1379,1703,-3,40,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+1,Normal,1575
Rated Classical game,0-1,1538,1665,-7,7,D00,Queen's Pawn Game,300+10,Time forfeit,1576
Rated Blitz game,0-1,1538,1394,-16,42,B06,Robatsch (Modern) Defense,300+2,Normal,1577
Rated Blitz game,0-1,1761,1816,-9,9,A51,Indian Game: Budapest Defense,240+0,Normal,1578
Rated Classical game,0-1,1494,1661,-6,6,C41,Philidor Defense #3,660+0,Time forfeit,1579
Rated Blitz game,0-1,1674,1798,-10,8,A13,English Opening: Agincourt Defense #2,300+0,Normal,1580
Rated Classical game,0-1,1696,1560,-18,15,D04,Queen's Pawn Game: Colle System,360+6,Normal,1581
Rated Blitz game,0-1,1663,1852,-6,5,B20,Sicilian Defense,300+0,Time forfeit,1582
Rated Blitz game,0-1,1897,1645,-17,18,C41,Philidor Defense: Hanham Variation,300+0,Normal,1583
Rated Classical game,0-1,1543,1718,-6,15,C24,Bishop's Opening: Berlin Defense,840+5,Time forfeit,1584
Rated Classical game,1-0,1350,1064,8,-6,B01,Scandinavian Defense,300+8,Time forfeit,1585
Rated Classical game,1/2-1/2,1844,1681,-5,5,B00,Owen Defense,300+11,Normal,1586
Rated Blitz game,1-0,1376,1567,18,-17,B20,Sicilian Defense: Bowdler Attack,180+1,Normal,1587
Rated Classical game,0-1,1563,1425,-15,15,B01,Scandinavian Defense,600+10,Normal,1589
Rated Blitz game,1-0,1834,1766,9,-8,B21,Sicilian Defense: McDonnell Attack,420+0,Normal,1590
Rated Classical game,0-1,1672,1547,-15,16,D30,Queen's Gambit Declined,420+17,Normal,1591
Rated Blitz game,0-1,1538,1743,-5,53,C00,French Defense #2,180+0,Normal,1592
Rated Blitz game,1/2-1/2,1399,1500,2,-51,D00,Queen's Pawn Game #3,240+4,Normal,1593
Rated Blitz game,1-0,1806,1664,8,-9,A40,Horwitz Defense,300+0,Time forfeit,1594
Rated Blitz game,1-0,1752,1578,6,-6,D20,Queen's Gambit Accepted: Saduleto Variation,240+0,Normal,1596
Rated Classical game,1/2-1/2,1805,1677,-4,4,B44,Sicilian Defense: Paulsen Variation,480+8,Normal,1597
Rated Classical game,1-0,1682,1339,4,-19,B07,Pirc Defense #4,300+5,Normal,1598
Rated Blitz game,0-1,1758,1843,-8,8,A30,"English Opening: Symmetrical Variation, Hedgehog Defense",420+0,Time forfeit,1600
Rated Blitz game,0-1,1394,1516,-8,8,C41,Philidor Defense #3,180+1,Time forfeit,1602
Rated Blitz game,1-0,1522,1302,6,-5,C53,"Italian Game: Classical Variation, Giuoco Pianissimo",300+2,Normal,1603
Rated Blitz game,0-1,1746,1761,-11,10,D00,Queen's Pawn Game,240+0,Time forfeit,1606
Rated Classical game,1-0,1762,1409,3,-3,C24,Bishop's Opening: Berlin Defense,300+8,Time forfeit,1608
Rated Classical game,0-1,1440,1548,-8,7,A04,Zukertort Opening: Wade Defense,600+10,Normal,1609
Rated Correspondence game,1/2-1/2,1279,1363,25,-12,A00,Ware Opening,-,Normal,1610
Rated Blitz game,0-1,1758,1857,-8,9,D20,"Queen's Gambit Accepted: Central Variation, Rubinstein Defense",240+0,Normal,1611
Rated Classical game,1-0,1395,1321,9,-11,D30,Queen's Gambit Declined,1740+30,Normal,1612
Rated Bullet game,1-0,1609,1367,5,-16,C20,Portuguese Opening,120+0,Normal,1613
Rated Classical game,1-0,1393,1634,18,-18,B21,Sicilian Defense: Smith-Morra Gambit #2,660+11,Normal,1615
Rated Blitz game,1-0,1386,1540,16,-22,C41,Philidor Defense #4,180+0,Time forfeit,1616
Rated Bullet game,0-1,1495,2144,0,1,A00,Van't Kruijs Opening,120+0,Normal,1617
Rated Blitz game,1-0,1824,1657,6,-6,C41,Philidor Defense #3,240+0,Normal,1618
Rated Blitz game,0-1,1725,1653,-15,16,B40,Sicilian Defense: French Variation,300+0,Normal,1619
Rated Blitz game,0-1,1568,1803,-5,5,B20,Sicilian Defense: Bowdler Attack,180+1,Time forfeit,1620
Rated Bullet game,1-0,1351,1614,60,-18,B01,Scandinavian Defense: Mieses-Kotroc Variation,120+0,Normal,1621
Rated Blitz game,1-0,1859,1771,9,-8,C46,Three Knights Opening,180+0,Time forfeit,1624
Rated Blitz game,0-1,1804,2055,-5,5,A00,Hungarian Opening: Slav Formation,180+0,Time forfeit,1625
Rated Bullet game,1-0,1495,1795,19,-24,A00,Van't Kruijs Opening,60+0,Normal,1626
Rated Classical game,0-1,1535,1667,-8,7,C20,King's Pawn Game: Leonardis Variation,480+4,Normal,1627
Rated Classical game,0-1,1320,1686,-15,3,C20,English Opening: The Whale,300+5,Normal,1628
Rated Classical game,1-0,1241,1058,6,-9,B01,Scandinavian Defense: Mieses-Kotroc Variation,600+5,Time forfeit,1629
Rated Blitz game,0-1,1750,1612,-15,15,A40,Polish Defense,240+0,Normal,1630
Rated Blitz game,0-1,1710,1524,-17,17,C21,Center Game #2,300+0,Time forfeit,1631
Rated Blitz game,0-1,1180,1740,-1,1,A00,Van't Kruijs Opening,420+0,Normal,1632
Rated Classical game,1-0,1674,1527,7,-7,A03,Bird Opening: Dutch Variation,480+4,Normal,1633
Rated Classical game,0-1,1657,1563,-15,14,C50,Italian Game: Giuoco Pianissimo,420+17,Normal,1635
Rated Bullet game,1-0,1771,1362,3,-6,B01,Scandinavian Defense: Modern Variation #2,60+0,Time forfeit,1636
Rated Classical game,0-1,1765,1714,-14,13,B00,Caro-Kann Defense: Hillbilly Attack,600+10,Normal,1637
Rated Bullet game,1-0,2092,1504,1,-1,A52,Budapest Defense,120+0,Time forfeit,1638
Rated Blitz game,0-1,1642,1651,-11,11,C41,Philidor Defense #3,300+0,Normal,1639
Rated Classical game,0-1,1466,1689,-5,13,C44,Ponziani Opening: Jaenisch Counterattack,1200+15,Time forfeit,1640
Rated Classical game,1-0,1520,1351,7,-13,C20,King's Pawn Game: Leonardis Variation,480+4,Normal,1641
Rated Blitz game,1-0,1763,1799,12,-12,B06,Modern Defense,180+0,Normal,1642
Rated Classical game,0-1,1519,1857,-3,3,A00,Hungarian Opening,300+8,Normal,1643
Rated Bullet game,1-0,1780,1774,11,-14,C21,Danish Gambit,60+0,Normal,1644
Rated Blitz game,1/2-1/2,1735,1606,-4,4,D80,Gruenfeld Defense,240+0,Time forfeit,1645
Rated Bullet game,0-1,1257,1375,-11,26,C33,"King's Gambit Accepted, Bishop's Gambit, Maurian Defense",120+0,Normal,1647
Rated Blitz game,1-0,1868,1806,9,-20,C01,French Defense: Exchange Variation,180+0,Time forfeit,1648
Rated Bullet game,1-0,1760,1791,15,-12,A00,Van Geet Opening: Gruenfeld Defense,60+0,Normal,1649
Rated Bullet game,1/2-1/2,1596,1411,-6,16,C20,Portuguese Opening,120+0,Normal,1650
Rated Bullet game,1-0,2093,1349,1,-1,A40,Polish Defense,120+0,Normal,1651
Rated Blitz game,1-0,1518,1434,12,-9,D04,"Queen's Pawn Game: Colle System, Anti-Colle",120+4,Normal,1652
Rated Blitz game,1-0,1825,1662,6,-7,C41,Philidor Defense #3,300+0,Time forfeit,1653
Rated Blitz game,0-1,1866,1851,-12,12,A50,Queen's Indian Accelerated,420+0,Normal,1654
Rated Blitz game,0-1,1609,1854,-5,4,B20,Sicilian Defense: Bowdler Attack,300+0,Normal,1655
Rated Bullet game,0-1,1779,1775,-11,14,C21,Danish Gambit,60+0,Normal,1657
Rated Blitz game,1-0,1513,1775,19,-18,C50,"Italian Game: Giuoco Pianissimo, Normal",300+0,Normal,1659
Rated Classical game,1/2-1/2,1686,1839,5,-5,A01,Nimzo-Larsen Attack: Modern Variation #3,300+11,Normal,1660
Rated Blitz game,1-0,1741,1179,2,-1,A40,Horwitz Defense,420+0,Normal,1661
Rated Blitz game,0-1,1425,1530,-7,10,C34,"King's Gambit Accepted, MacLeod Defense",120+4,Time forfeit,1662
Rated Classical game,1-0,1779,1647,8,-8,C42,Russian Game: Three Knights Game,840+3,Normal,1664
Rated Bullet game,0-1,1789,1768,-14,12,B01,Scandinavian Defense: Boehnke Gambit,60+0,Normal,1666
Rated Blitz game,1-0,1693,1091,1,-1,B00,Owen Defense,300+0,Normal,1667
Rated Bullet game,0-1,1283,2094,-2,0,A35,"English Opening: Symmetrical Variation, Two Knights Variation",120+0,Normal,1668
Rated Classical game,1-0,1689,1305,2,-14,E91,King's Indian Defense: Orthodox Variation,300+5,Normal,1669
Rated Blitz game,1-0,1757,1532,5,-5,C55,Italian Game: Anti-Fried Liver Defense,300+0,Time forfeit,1670
Rated Classical game,0-1,1564,1857,-3,17,B20,Sicilian Defense,300+8,Time forfeit,1671
Rated Classical game,1-0,1702,1343,7,-10,C02,French Defense: Advance Variation #3,1200+15,Normal,1672
Rated Blitz game,0-1,1445,1523,-10,9,B32,Sicilian Defense: Franco-Sicilian Variation,240+0,Normal,1673
Rated Bullet game,1-0,1780,1775,10,-13,C21,"Danish Gambit Accepted, Copenhagen Defense",60+0,Normal,1674
Rated Blitz game,0-1,1814,1858,-11,10,D00,Queen's Pawn Game: Stonewall Attack,300+0,Normal,1675
Rated Blitz game,0-1,1402,1442,-10,10,B20,Sicilian Defense: Bowdler Attack,240+0,Normal,1676
